课程模块,核心课程名称,主要内容与目标,视频,书籍
公共基础课程,高等数学,微积分、线性代数等，用于工程建模与数据分析,https://www.bilibili.com/video/BV1jR4y1M78W/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,大学物理,力学、电磁学等，理解机械与电子现象的物理原理,https://www.bilibili.com/video/BV1qW411H7UX/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,工程制图,机械制图规范、AutoCAD/SolidWorks 绘图，掌握工程图纸设计与阅读,https://www.bilibili.com/video/BV1FA411i7v4/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,工程力学,理论力学（受力分析）、材料力学（强度计算），分析机械结构性能,https://www.bilibili.com/video/BV1Sk4y1r7Qz/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,计算机基础,编程基础、操作系统应用，为自动化控制编程打基础,https://www.bilibili.com/video/BV15V4y1C7eV/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,专业英语,科技文献阅读与写作，学习国际前沿技术,https://www.bilibili.com/video/BV127411U7bB/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
公共基础课程,马克思主义基本原理,,https://www.bilibili.com/video/BV1SsEiz2Efj/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,机械原理,齿轮传动、连杆机构等机构运动学分析，机械系统动力学建模,https://www.bilibili.com/video/BV1nt41187eV/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,机械设计,机械零件（轴承、轴系等）设计、结构优化，掌握机械系统设计流程,https://www.bilibili.com/video/BV1zt41187rk/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,互换性与测量技术,公差配合标准、几何精度设计，保证零件加工与装配精度,https://www.bilibili.com/video/BV1B4411K7vT/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,数控技术,数控机床原理、数控编程（G 代码）、加工工艺，掌握自动化加工技术,https://www.bilibili.com/video/BV1C7411b7Md/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,液压与气压传动,液压泵 / 缸、气动元件原理及回路设计，机械系统动力传动技术,https://www.bilibili.com/video/BV1be4y197Qj/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
机械工程类,非标设计,公差配合标准、几何精度设计，保证零件加工与装配精度,https://www.bilibili.com/video/BV1g1sFezE6k/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,电路分析,基尔霍夫定律、正弦稳态电路分析，电路仿真工具（Multisim）应用,https://www.bilibili.com/video/BV1F7411a7iV/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,模拟电子技术,二极管 / 三极管 / 运放原理，放大 / 滤波电路设计，模拟信号处理技术,https://www.bilibili.com/video/BV1Gt411b7Zq/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,数字电子技术,逻辑门电路、PLC 基础、FPGA 初步，数字信号处理与工业控制逻辑设计,https://www.bilibili.com/video/BV18p411Z7ce/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,电机与拖动基础,交直流电机原理、调速控制，机械系统动力驱动技术,https://www.bilibili.com/video/BV17H4y1A7pg/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,电力电子技术,晶闸管 / IGBT 等器件应用，变频器 / 逆变器设计，电能变换与控制技术,https://www.bilibili.com/video/BV1TRSmYLE6w/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
电子与电气工程类,电气控制技术,继电器 - 接触器电路、电机控制接线，工业电气设备控制系统设计,https://www.bilibili.com/video/BV1mm4y1d7Tk/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,自动控制原理,传递函数、PID 控制、频域分析（伯德图），控制系统建模与设计,https://www.bilibili.com/video/BV1F34y1h7so/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,单片机原理与应用,51/STM32 等微控制器编程，GPIO/ADC 接口技术，嵌入式系统开发基础,https://www.bilibili.com/video/BV1te4y1y7n7/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,PLC 应用技术,西门子 / 三菱 PLC 梯形图编程，工业自动化逻辑控制实现,https://www.bilibili.com/video/BV1B14y1F7w4/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,工业机器人技术,机器人运动学（D-H 参数）、轨迹规划、编程调试（如 ABB 机器人），智能装备控制技术,https://www.bilibili.com/video/BV1C7411K7HP/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,传感器与检测技术,温度 / 压力传感器原理、信号调理、工业总线（PROFINET），数据采集与监控系统设计,https://www.bilibili.com/video/BV1m4411m7xs/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
自动控制与计算机类,C语言,温度 / 压力传感器原理、信号调理、工业总线（PROFINET），数据采集与监控系统设计,https://www.bilibili.com/video/BV1dr4y1n7vA/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
建模软件,AutoCAD,建筑设计、机械工程二维制图、土木工程、电子电路设计,https://www.bilibili.com/video/BV1X3411Y7R5/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
建模软件,SolidWorks,中小型机械产品设计、工业设备、消费电子、自动化设备、教育领域,https://www.bilibili.com/video/BV1iw411Z7HZ/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
建模软件,Catia,航空航天（复杂曲面与装配）、汽车制造（整车设计）、船舶与重工行业,https://www.bilibili.com/video/BV12F411u73d/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
建模软件,Creo,机械工程（参数化设计）、模具制造、航空航天零部件、电子设备结构设计,https://www.bilibili.com/video/BV1zt411d7kW/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
建模软件,UG（NX）,汽车制造（整车开发全流程）、模具设计与制造、航空航天精密加工、高端装备仿真分析,https://www.bilibili.com/video/BV1Ji4y1M7mW/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
仿真软件,MATLAB/Simulink,算法开发、数据分析、信号处理、控制系统设计等3。,https://www.bilibili.com/video/BV1L7411a7uL/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
仿真软件,ANSYS,结构分析、流体动力学、热传递、电磁场分析等多种物理领域，适用于多种工业场景,https://www.bilibili.com/video/BV1u4411B7Fo/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
仿真软件,ABAQUS,复杂的工程分析任务，如材料变形、接触问题等，尤其擅长处理非线性问题,https://www.bilibili.com/video/BV1j64y1s7Qp/?spm_id_from=333.337.search-card.all.click&vd_source=6b0184409222e540f3995c3bb194c9a2,
